Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Danilo Pereira,CDM,83,Portugal,FC Porto,Liga NOS,65,63,72,74,82,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miranda,CB,83,Brazil,,CSL,64,49,60,68,84,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kampl,CM,83,,RB Leipzig,Bundesliga,76,67,80,85,63,62,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rui Patricio,GK,83,Portugal,Wolves,EPL,84,80,77,82,55,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kevin Trapp,GK,83,Germany,Frankfurt,Bundesliga,82,77,79,85,48,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vincent Kompany,CB,83,Belgium,Anderlecht,Belgium Pro League,50,53,65,64,84,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul Albiol,CB,83,Spain,Villareal,La Liga Santander,48,41,61,64,86,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Digne,LB,83,France,Everton,EPL,78,69,79,79,80,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borja Iglesias,ST,83,Spain,Real Betis,La Liga Santander,67,83,63,77,35,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grimaldo,LB,83,Spain,SL Benfica,Liga NOS,85,63,79,84,77,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kjaer,CB,82,Denmark,Sevilla,La Liga Santander,65,55,63,56,81,78,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergio Asenjo,GK,82,Spain,Villareal,La Liga Santander,84,82,77,81,57,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harry Maguire,CB,82,England,Manchester United,EPL,50,53,64,70,81,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rudiger,CB,82,Germany,Chelsea,EPL,72,43,67,64,82,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schulz,LWB,82,Germany,Dortmund,Bundesliga,90,52,76,80,74,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Mata,CAM,82,Spain,Manchester United,EPL,62,74,83,83,36,47,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bonaventura,CM,82,Italy,Milan,Serie A,73,77,82,82,72,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viviano,GK,82,Italy,Sporting CP,Liga NOS,83,84,76,83,31,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Pedro,RW,82,Spain,Chelsea,EPL,75,77,77,83,43,56,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Willian ,RW,82,Brazil,Chelsea,EPL,85,78,80,85,49,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andre Onana,GK,82,Cameroon,Ajax,Eredivisie,84,80,86,83,63,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strakosha,GK,82,Albania,Lazio,Serie A,84,78,75,87,43,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thorgan Hazard ,RW,82,Belgium,Dortmund,Bundesliga,82,77,80,85,47,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coates,CB,82,Uruguay,Sporting CP,Liga NOS,54,43,55,60,83,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santi Cazorla,CM,82,Spain,Villareal,La Liga Santander,56,73,85,84,65,58,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muniain,CAM,82,Spain,Athletic Bilbao,La Liga Santander,80,72,77,87,51,58,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabriel Paulista,CB,82,Brazil,Valencia,La Liga Santander,71,49,69,65,83,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergi Roberto,RB,82,Spain,FC Barcelona,La Liga Santander,78,63,81,78,77,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marlos,RM,82,Ukraine,Shakhtar Donetsk,Ukrainian League,83,78,79,86,46,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biglia,CDM,82,Argentina,Milan,Serie A,55,63,81,81,77,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kimpembe,CB,82,France,Paris,Ligue 1,75,39,67,68,81,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tagliafico,LB,82,Argentina,Ajax,Eredivisie,81,57,72,76,80,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joel Matip ,CB,82,Cameroon,Liverpool,EPL,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nacho Fernandez,CB,82,Spain,Real Madrid,La Liga Santander,74,37,66,65,81,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jesse Lingard,CAM,82,England,Manchester United,EPL,80,78,76,83,58,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oliver Giroud,ST,82,France,Chelsea,EPL,46,81,71,73,42,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabriel Jesus,ST,82,Brazil,Manchester City,EPL,85,80,72,86,39,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jesus Navas,RM,82,Spain,Sevilla,La Liga Santander,87,69,77,83,69,53,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alexis Sanchez,LW,82,Chile,Inter,Serie A,81,78,77,84,44,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stephan El Shaarawy,LW,82,Italy,,CSL,87,78,71,84,42,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hector Herrera,CM,82,Mexico,Atletico Madrid,La Liga Santander,72,75,75,76,78,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ander Herrera,CM,82,Spain,Paris,Ligue 1,70,72,78,80,82,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thomas Meunier,RB,82,Belgium,Paris,Ligue 1,79,75,77,75,78,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stefan Savic,CB,82,Montenegro,Atletico Madrid,La Liga Santander,55,35,54,58,84,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kolarov,LB,82,Serbia,Roma,Serie A,69,74,81,77,82,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bailey,LW,82,Jamaica,Leverkusen,Bundesliga,91,77,75,84,33,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quincey Promes,LW,82,Netherlands,Ajax,Eredivisie,91,79,79,82,40,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oyarzabal,LW,82,Spain,Real Soceidad,La Liga Santander,75,82,79,82,39,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mario Fernandes,RWB,82,Russia,CSKA Moscow,Russian Premier League,82,60,74,78,81,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giuliano,CAM,82,Brazil,Al Nasser,Saudi Pro League,81,77,79,83,46,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kostic,LM,82,Serbia,Frankfurt,Bundesliga,87,76,77,81,67,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bergwijn,RW,82,Netherlands,PSV,Eredivisie,89,75,76,85,40,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xherdan Shaqiri,RW,82,Switzerland,Liverpool,EPL,80,77,81,85,46,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hirving Lozano,RW,82,Mexico,Napoli,Serie A,93,76,73,83,41,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duvan Zapata,ST,82,Colombia,Atalanta,Serie A,71,81,56,76,37,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pacheco,GK,82,Spain,D. Alaves,La Liga Santander,81,79,70,83,46,83,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baumann,GK,82,Germany,TSG Hoffenheim,Bundesliga,82,80,70,84,49,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artiz Aduriz,ST,82,Spain,Athletic Bilbao,La Liga Santander,61,82,64,76,49,74,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bas Dost,ST,82,Netherlands,Frankfurt,Bundesliga,50,82,57,66,45,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alphonse Areola,GK,82,France,Real Madrid,La Liga Santander,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lecomte,GK,82,France,AS Monaco,Ligue 1,82,78,78,83,42,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De Jong,ST,82,Netherlands,Sevilla,La Liga Santander,56,79,71,70,51,78,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Danielle De Rossi,CDM,82,Italy,Buenos Aires,Primera Division,59,64,73,70,85,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabianski,GK,82,Poland,West Ham,EPL,80,83,70,84,49,82,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pepe Reina,GK,82,Spain,Milan,Serie A,79,82,82,81,55,82,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruben Neves,CM,82,Portugal,Wolves,EPL,62,74,83,76,70,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belotti,ST,82,Italy,Torino,Serie A,77,81,57,77,41,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Torreira,CDM,82,Uruguay,Arsenal,EPL,75,67,77,80,81,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delaney,CDM,82,Denmark,Dortmund,Bundesliga,75,67,77,75,83,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Izzo,CB,81,Italy,Torino,Serie A,68,33,48,65,83,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ndidi,CDM,81,Nigeria,Leicester City,EPL,71,62,67,74,83,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acuna,LW,81,Argentina,Sporting CP,Liga NOS,76,74,81,86,74,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Neres,LW,81,Brazil,Ajax,Eredivisie,87,73,73,87,36,65,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cesc Fabregas,CM,81,Spain,AS Monaco,Ligue 1,53,73,87,78,60,56,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaya,LB,81,Spain,Valencia,La Liga Santander,85,61,77,80,75,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luiz Gustavo ,CDM,81,Brazil,OM,Ligue 1,58,60,69,70,80,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordi Masip,GK,81,Spain,Real Valladolid,La Liga Santander,82,82,72,84,65,77,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aouar ,CM,81,France,OL,Ligue 1,79,71,79,83,66,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poulsen,ST,81,Denmark,RB Leipzig,Bundesliga,83,74,67,75,56,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernando,CDM,81,Brazil,Sevilla,La Liga Santander,61,62,71,71,81,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Henrikh Mkhitaryan,RM,81,Armenia,Roma,Serie A,78,76,78,82,55,66,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tanguy Ndombele,CM,81,France,Spurs,EPL,80,65,78,87,70,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donny Van De Beek,CAM,81,Netherlands,Ajax,Eredivisie,71,78,77,79,71,79,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Vazquez,RW,81,Spain,Real Madrid,La Liga Santander,82,73,79,81,58,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adan,GK,81,Spain,Atletico Madrid,La Liga Santander,79,82,78,81,55,82,,,,,----------------------,----------------------,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicolas Gaitan,CAM,81,Argentina,Chicago Fire,MLS,78,72,80,82,41,58,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Lindelof,CB,81,Sweden,Manchester United,EPL,74,50,72,73,82,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Howedes,CB,81,Germany,Lokomotiv Moscow,Russian Premier League,52,48,62,65,82,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renato Augusto,CM,81,Brazil,,CSL,67,73,79,79,71,72,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guardado,CM,81,Mexico,Real Betis,La Liga Santander,68,68,81,82,72,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcos Alonso,LB,81,Spain,Chelsea,EPL,66,73,79,77,79,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andre Almeida,RB,81,Portugal,SL Benfica,Liga NOS,68,63,76,75,82,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nkoulou,CB,81,Cameroon,Torino,Serie A,70,44,64,70,82,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Moussa Dembele,CM,81,Belgium,,CSL,73,68,77,87,77,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cragno,GK,81,Italy,Cagliari,Serie A,84,78,69,88,39,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Florenzi,RB,81,Italy,Roma,Serie A,82,77,76,80,77,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Nemanja Matic,CDM,81,Serbia,Manchester United,EPL,48,68,77,72,80,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ljajic,CAM,81,Serbia,Besiktas,Super Lig,78,75,80,84,37,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Parolo ,CDM,81,Italy,Lazio,Serie A,64,76,76,76,79,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granit Xhaka,CM,81,Switzerland,Arsenal,EPL,51,67,81,71,69,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Zahavi,CF,81,Israel,,,75,81,73,82,39,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vazquez,CM,81,Argentina,Sevilla,La Liga Santander,56,78,80,80,58,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rulli,GK,81,Argentina,Montpellier,Ligue 1,83,77,77,86,52,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thiago Mendes,CDM,81,Brazil,OL ,Ligue 1,78,70,78,79,77,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sebastian Giovinco,CF,81,Italy,Al Hilal,Saudi Pro League,81,79,79,87,27,56,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raphael Guerreiro,LM,81,Portugal,Dortmund,Bundesliga,73,75,82,85,66,57,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fraser,LM,81,Scotland,Bournemouth,EPL,90,73,78,83,46,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mathieu,CB,81,France,Sporting CP,Liga NOS,68,64,73,63,83,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardel,CB,81,Brazil,SL Benfica,Liga NOS,55,42,54,54,82,79,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucas Piszczek,RB,81,Poland,Dortmund,Bundesliga,77,68,75,73,82,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benat,CM,81,Spain,Athletic Bilbao,La Liga Santander,49,73,84,74,67,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consigli,GK,81,Italy,Sassulo,Serie A,81,82,72,83,42,80,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James Milner,CM,81,England,Liverpool,EPL,61,70,82,78,77,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gerard Moreno,ST,81,Spain,Villareal,La Liga Santander,76,79,66,78,45,69,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eder Gabriel Militao,CB,81,Brazil,Real Madrid,La Liga Santander,79,50,66,71,81,81,,"6'1""",,Right,Medium,High,2,2,,Rare Gold,18/01/1998,78,80,64,48,62,42,34,60,59,72,40,69,68,60,69,67,81,71,70,74,82,77,81,82,80,86,88,77,83,,,,
,Kevin Gameiro,ST,81,France,Valencia,La Liga Santander,85,79,74,77,43,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Rafinha,CAM,81,Brazil,RC Celta,La Liga Santander,67,76,79,83,68,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gomis,ST,81,France,Al Hilal,Saudi Pro League,70,82,66,76,36,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weghorst,ST,81,Netherlands,Wolfsburg,Bundesliga,63,80,59,69,39,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruben Dias,CB,80,Portugal,SL Benfica,Liga NOS,64,38,50,60,81,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ralf Fahrmann,GK,80,Germany,Norwich,EPL,82,79,44,84,42,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Piarri,LW,80,Argentina,,MLS,73,81,74,84,55,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hysaj,RB,80,Albania,Napoli,Serie A,79,51,68,75,78,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cristian Tello,LM,80,Spain,Real Betis,La Liga Santander,89,75,76,81,48,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valbuena,LM,80,France,,,77,75,80,82,34,48,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subasic,GK,80,Croatia,AS Monaco,Ligue 1,79,75,76,81,52,80,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caldara,CB,80,Italy,Milan,Serie A,64,34,46,63,83,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Younes Belhanda,CAM,80,Morocco,Galatasaray,Super Lig,73,76,78,83,57,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Campana,CM,80,Spain,Levante,La Liga Santander,61,73,81,78,73,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lanzini,CAM,80,Argentina,West Ham,EPL,77,72,78,85,32,50,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salvio,RM,80,Argentina,Buenos Aires,Primera Division,86,75,73,84,58,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erik Lamela,RM,80,Argentina,Spurs,EPL,75,77,79,82,51,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javier Mascherano,CDM,80,Argentina,,CSL,66,53,72,69,79,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soufiane Feghouli,RM,80,Algeria,Galatasaray,Super Lig,86,72,74,82,34,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pereyra,LM,80,Argentina,Watford,EPL,75,73,79,83,61,67,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perotti,LW,80,Argentina,Roma,Serie A,75,70,77,86,42,57,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steve Mandanda,GK,80,France,OM,Ligue 1,80,79,74,81,49,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akinfeev,GK,80,Russia,CSKA Moscow,Russian Premier League,77,72,78,84,51,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smolov,ST,80,Russia,Lokomotiv Moscow,Russian Premier League,86,81,70,76,32,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ricardo Rodriguez,LB,80,Switzerland,Milan,Serie A,70,67,79,76,78,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bender,CB,80,Germany,Leverkusen,Bundesliga,65,51,62,61,82,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamil Glik,CB,80,Poland,AS Monaco,Ligue 1,45,32,44,54,79,82,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bernard,LM,80,Brazil,Everton,EPL,87,69,76,85,38,44,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabriel,CM,80,Brazil,SL Benfica,Liga NOS,63,74,77,79,76,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vida,CB,80,Croatia,Besiktas,Super Lig,75,40,59,61,82,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Danny Rose,LB,80,England,Spurs,EPL,77,62,74,79,80,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hinteregger,CB,80,Austria,Frankfurt,Bundesliga,68,61,64,60,81,80,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muriel,ST,80,Colombia,Atalanta,Serie A,88,76,68,83,27,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
